success,model,sample,local_steps,local_psnr,local_conf_c1,local_conf_c2,remote_steps,remote_psnr,s1_label,s2_label,s1_conf_c1,s1_conf_c2,s2_conf_c1,s2_conf_c2
True,fmnist,170,106,69.84824356034375,0.5000007152557373,0.49999213218688965,43,69.84798997990312,7,9,0.4999966621398926,0.4999961853027344,0.4999971389770508,0.49999570846557617
True,fmnist,171,157,58.250484450002006,0.4999502897262573,0.49994075298309326,74,58.25041052569452,6,2,0.49994564056396484,0.49994540214538574,0.49994903802871704,0.49994200468063354
False,fmnist,172,0,None,1.0,1.217676981468685e-08,None,None,None,None,None,None,None,None
True,fmnist,173,253,42.1175946868335,0.5000041723251343,0.4999951124191284,133,42.117587483034015,4,6,0.5000013113021851,0.49999797344207764,0.4999997615814209,0.4999995231628418
True,fmnist,174,180,48.151033760727636,0.4999939799308777,0.4999846816062927,87,48.151018794404905,2,6,0.49998974800109863,0.4999887943267822,0.4999910593032837,0.49998748302459717
True,fmnist,175,203,45.20340487140648,0.4999610185623169,0.4999511241912842,82,45.20339335261098,2,6,0.4999570846557617,0.49995505809783936,0.4999561309814453,0.49995601177215576
True,fmnist,176,141,54.86984594677089,0.4997834265232086,0.49977484345436096,35,54.869801399182776,3,4,0.49977925419807434,0.49977901577949524,0.49977996945381165,0.49977830052375793
True,fmnist,177,113,58.20069015944611,0.4914996922016144,0.49148985743522644,61,58.200630454320255,0,6,0.4914969205856323,0.49149268865585327,0.49149489402770996,0.49149465560913086
False,fmnist,179,0,None,1.0,7.332835227913392e-09,None,None,None,None,None,None,None,None
True,fmnist,180,191,44.031906154043284,0.4986792504787445,0.4986701011657715,30,44.03189935756909,6,5,0.4986751675605774,0.498674213886261,0.4986754059791565,0.4986739754676819
True,fmnist,181,243,51.14689869253116,0.4789031744003296,0.47889336943626404,173,51.14687400291394,2,0,0.47889915108680725,0.4788973331451416,0.4788981080055237,0.47889798879623413
True,fmnist,182,109,59.15766262675592,0.4999725818634033,0.49996376037597656,55,59.1575918637178,2,6,0.49997174739837646,0.4999645948410034,0.49996840953826904,0.49996793270111084
False,fmnist,183,0,None,1.0,3.6216485366225015e-09,None,None,None,None,None,None,None,None
True,fmnist,184,167,47.671515811792645,0.4999328851699829,0.4999229907989502,42,47.671501947854146,5,7,0.4999294877052307,0.4999263882637024,0.4999280571937561,0.499927818775177
True,fmnist,185,131,47.65677481503063,0.5000032782554626,0.4999937415122986,26,47.65676652484888,9,7,0.49999862909317017,0.49999839067459106,0.500000536441803,0.49999648332595825
False,fmnist,186,0,None,1.0,3.2623384549346213e-10,None,None,None,None,None,None,None,None
True,fmnist,188,259,45.056930429284996,0.4999919533729553,0.49998337030410767,76,45.05691169926217,4,6,0.4999876618385315,0.4999876618385315,0.499988853931427,0.499986469745636
True,fmnist,189,177,45.20353000938094,0.4998581111431122,0.4998496472835541,55,45.203521631830704,2,3,0.49985429644584656,0.49985358119010925,0.49985775351524353,0.4998501241207123
True,fmnist,190,166,45.74325476916154,0.49996060132980347,0.4999515414237976,18,45.74324854388081,1,6,0.4999569058418274,0.4999552369117737,0.49995630979537964,0.49995583295822144
True,fmnist,191,167,49.96329023227814,0.4999067485332489,0.4998967945575714,85,49.96326085758743,0,6,0.49990227818489075,0.49990132451057434,0.49990180134773254,0.499901682138443
True,fmnist,192,1064,44.54188920132937,0.268616259098053,0.2686067819595337,245,44.541863573786394,0,3,0.2686125338077545,0.26861247420310974,0.26861345767974854,0.26861080527305603
False,fmnist,193,0,None,1.0,6.938772334486032e-10,None,None,None,None,None,None,None,None
False,fmnist,194,0,None,1.0,4.970218247385416e-12,None,None,None,None,None,None,None,None
